Account,Lost,Webinar,Conference,Website,Preqs,Trials,MKTT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
OpenSesame,20000,0,0,0,0,0,0,0,0,0,2,0,-150
Parker Hannifin Corp,20000,0,1,0,0,0,6,0,0,0,22,0,14
Pinnacol Assurance,20000,1,4,0,0,0,5,0,0,0,27,3,896
PJM Interconnection,20000,0,1,0,0,0,2,1,0,0,6,1,118
Player's Health,20000,0,0,0,0,0,0,0,0,0,1,0,-50
Protegrity,20000,3,2,1,1,0,15,0,0,0,27,4,1076
Quali,20000,1,14,5,0,0,23,0,0,0,28,3,726
Samaritan's Purse,20000,0,2,1,0,0,4,0,0,0,13,1,293
SeneGence International,20000,0,0,2,2,0,3,0,0,0,5,2,163
SGN,20000,0,0,1,1,0,1,0,0,0,1,1,106
SpinMaster,20000,0,0,1,0,1,1,0,0,0,2,1,-44
Syapse,20000,0,0,0,0,0,0,0,0,0,0,0,0
TaskTop Technologies,20000,4,10,0,0,0,17,0,0,0,30,4,817
Westshore Terminals Ltd.,20000,0,0,0,0,0,1,0,0,0,1,0,25
ZEFR,20000,4,1,0,0,0,15,0,0,0,62,2,-73
Rivendel Tecnologia,19980,1,6,1,0,0,7,0,0,0,8,6,592
Bioware,19800,1,1,0,0,0,3,0,0,0,13,0,3
Arity Insurance,19550,0,5,0,0,0,5,0,0,0,6,0,71
Comcast Wholesale,19550,0,2,0,0,0,2,0,0,0,3,0,0
Deloitte Consulting,19550,3,10,1,0,1,13,0,0,0,14,4,969
Sapient,19550,49,91,16,3,7,147,0,0,0,225,94,15013
Mirion Technologies,19500,0,0,0,0,0,0,0,0,0,3,0,-250
Imprivata,19250,0,1,1,0,0,2,0,0,0,109,1,-139
Procitec GmbH,18648,0,0,0,0,0,0,0,0,0,2,0,-29
BankLeumi israel,18576,3,0,0,0,0,3,1,0,0,3,1,237
NPR,18000,1,2,0,0,0,3,0,0,0,34,0,15
Envision Healthcare Corporation,18000,0,0,0,0,0,1,0,0,0,14,0,-50
HOOPP,18000,3,5,2,1,1,10,0,0,0,63,2,-268
"Intelligrated, Inc.",18000,0,1,1,0,0,3,0,0,0,52,1,155
Thales S.A.,18000,3,7,6,0,1,34,0,0,0,207,9,2311
PSI AG Aktiengesellschaft für Produkte und Systeme der Informationstechnologie,17897,0,0,0,0,0,1,0,0,0,5,0,21
ALES srl,17439,0,0,0,0,0,0,1,0,0,1,0,-50
Bnl,17267,0,0,0,0,0,1,1,0,0,2,0,-41
Carrefour,17267,2,3,4,0,2,9,0,0,1,10,7,1430
Dialog Semiconductor GmbH,17267,0,2,0,0,0,2,0,0,0,4,0,-26
BOK Financial Corporation,17000,0,0,0,0,0,4,1,0,1,38,0,-700
Dyn Inc,16500,1,0,0,0,0,5,0,0,0,30,1,110
Canadian Imperial Bank of Commerce,16500,19,8,4,1,0,32,5,3,0,330,6,981
HealthNow,16400,0,0,1,0,1,3,0,0,0,22,1,107
Seagate Technology,16364,6,8,4,2,0,38,0,0,0,688,10,692
Bci,16000,0,5,1,0,0,6,2,0,0,8,1,187
Chevron,15830,5,3,2,0,1,21,3,2,0,213,6,817
Cylance,15750,2,4,0,0,0,5,0,0,0,22,2,399
Anthem Inc,15600,11,14,6,3,1,36,3,0,0,248,9,1534
US Department of Transportation,15151,2,0,1,0,0,7,1,0,0,10,1,412
Bazaarvoice,15000,1,0,0,0,0,5,0,0,0,91,0,31
